REG_KEY|CONTACT_ID|FIRM_NAME|OWNER_OPERATOR_NUMBER
5|948632|BARNHARDT MFG. CO.|1010842
6|948632|BARNHARDT MFG. CO.|1010842
16|3395481|CORDIS CORPORATION|1016427
17|3395481|CORDIS CORPORATION|1016427
21|948646|MEDICAL SPECIALTIES, INC.|1016498
51|2916370|Smith & Nephew, Inc.|1020279
55|2916370|Smith & Nephew, Inc.|1020279
79|948692|PROFESSIONAL PRODUCTS, INC.|1026765
155|1954733|PETER BRASSELER HOLDINGS, L.L.C.|1032227
157|948813|THE QUALITY ASSURANCE SERVICE CORP.|1032263
190|1948530|MCPHERSON ENTERPRISES, INC.|1033972
195|2703188|WestBridge Vocational, Inc|1034084
196|1948518|RICO SUCTION LABS, INC.|1034117
213|948957|IMMUCOR, INC.|1034569
245|1085866|EssilorLuxottica|1035170
246|1085866|EssilorLuxottica|1035170
297|2044767|SUNOPTIC TECHNOLOGIES, LLC|1035968
323|2645091|AWARENESS TECHNOLOGY, INC.|1036223
352|2182321|FAIRFAX DENTAL INC|1036521
392|1926161|SUNTECH MEDICAL, INC.|1036863
395|2775186|FAMILY DOLLAR STORES|1036966
398|949460|ADVANCED LABELWORX|1036988
405|949475|U.S. IOL, INC.|1037089
427|1934336|ANGIOSYSTEMS, INC.|1037577
429|1920947|Theragenics Corporation|1037598
430|1920947|Theragenics Corporation|1037598
494|2101458|Optimetrics, Inc.|1038753
497|949699|ASO LLC|1038758
498|949699|ASO LLC|1038758
507|1937022|MEDICAL ENERGY, INC.|1038823
516|1115885|PREFERRED MEDICAL PRODUCTS|1038913
552|1620310|SWEAT INSTITUTE FOR ATLAS ORTHOGONAL|1039671
575|2584824|Savaria Corporation|1041130
601|2072000|CITMED|1043545
603|949943|HAYWOOD VOCATIONAL OPPORTUNITIES|1043549
605|1942707|PEDICRAFT, INC.|1043568
614|949960|Symbiont Logistics, LLC|1043591
618|1084035|WHIP MIX CORPORATION|1043617
623|2674969|Porex Corporation|1043678
659|2401261|DEROYAL INDUSTRIES, INC.|1044833
