PRODUCT_CODE,DEVICE_NAME
BRW,"Protector, Dental"
BRX,"Stool, Anesthesia"
BRY,"Cabinet, Table And Tray, Anesthesia"
BSE,"Analyzer, Gas, Helium, Gaseous-Phase"
BSF,"Absorber, Carbon-Dioxide"
BSI,"Algesimeter, Powered"
BSJ,"Mask, Gas, Anesthetic"
BSK,"Cuff, Tracheal Tube, Inflatable"
BSN,"Filter, Conduction, Anesthetic"
BSO,"Catheter, Conduction, Anesthetic"
BSP,"Needle, Conduction, Anesthetic (W/Wo Introducer)"
BSR,"Stylet, Tracheal Tube"
BSY,"Catheters, Suction, Tracheobronchial"
BSZ,"Gas-Machine, Anesthesia"
BTB,"Hook, Ether"
BTC,"Bag, Reservoir"
BTI,"Compressor, Air, Portable"
BTK,"Strap, Head, Gas Mask"
BTL,"Ventilator, Emergency, Powered (Resuscitator)"
BTM,"Ventilator, Emergency, Manual (Resuscitator)"
BTO,"Tube, Tracheostomy (W/Wo Connector)"
BTP,"Dropper, Ether"
BTQ,"Airway, Nasopharyngeal"
BTR,"Tube, Tracheal (W/Wo Connector)"
BTS,"Tube, Bronchial (W/Wo Connector)"
BTT,"Humidifier, Respiratory Gas, (Direct Patient Interface)"
BTY,"Calculator, Predicted Values, Pulmonary Function"
BWB,"Forceps, Tube Introduction"
BWC,"Needle, Emergency Airway"
BWF,"Spirometer, Therapeutic (Incentive)"
BWL,"Apparatus, Electronanesthesia"
BXA,"Analyzer, Gas, Water Vapor, Gaseous-Phase"
BXH,"Gauge, Gas Pressure, Cylinder/Pipeline"
BXJ,"Clip, Nose"
BXK,"Gas, Calibration (Specified Concentration)"
BXL,"Algesimeter, Manual"
BXM,"Stimulator, Nerve, Ac-Powered"
BXN,"Stimulator, Nerve, Battery-Powered"
BXO,"Transducer, Gas Pressure"
BXP,"Transducer, Gas Flow"
BXQ,Rhinoanemometer (Measurement Of Nasal Decongestion)
BXR,"Meter, Airway Pressure (Inspiratory Force)"
BXW,"Calibrator, Volume, Gas"
BXX,"Calibrator, Pressure, Gas"
BXY,"Flowmeter, Calibration, Gas"
BYD,"Condenser, Heat And Moisture (Artificial Nose)"
BYE,"Attachment, Breathing, Positive End Expiratory Pressure"
BYF,"Mask, Oxygen, Low Concentration, Venturi"
BYG,"Mask, Oxygen"
BYH,"Drain, Tee (Water Trap)"
BYI,"Percussor, Powered-Electric"
BYJ,"Unit, Liquid-Oxygen, Portable"
BYK,"Tent, Oxygen, Electrically Powered"
BYL,"Tent, Oxygen"
BYM,"Tube, Thorpe, Uncompensated"
BYN,"Chair, Posture, For Cardiac And Pulmonary Treatment"
BYO,"Bottle, Blow"
BYP,"Mouthpiece, Breathing"
BYR,"Transducer, Gas Pressure, Differential"
BYT,"Ventilator, External Body, Negative Pressure, Adult (Cuirass)"
BYW,"Device, Rebreathing"
BYX,"Tubing, Pressure And Accessories"
BZA,"Connector, Airway (Extension)"
BZB,"Catheter, Nasal, Oxygen"
BZC,"Calculator, Pulmonary Function Data"
BZD,"Ventilator, Non-Continuous (Respirator)"
BZE,"Heater, Breathing System W/Wo Controller (Not Humidifier Or Nebulizer"
BZG,"Spirometer, Diagnostic"
BZH,"Meter, Peak Flow, Spirometry"
BZK,"Spirometer, Monitoring (W/Wo Alarm)"
BZL,"Computer, Oxygen-Uptake"
BZM,"Calculator, Pulmonary Function Interpretor (Diagnostic)"
BZN,"Cart, Emergency, Cardiopulmonary (Excluding Equipment)"
BZO,"Set, Tubing And Support, Ventilator (W Harness)"
BZQ,"Monitor, Breathing Frequency"
BZR,"Mixer, Breathing Gases, Anesthesia Inhalation"
BZS,Stethoscope Head
BZT,"Stethoscope, Esophageal, With Electrical Conductors"
BZW,"Stethoscope, Esophageal"
CAD,"Vaporizer, Anesthesia, Non-Heated"
CAE,"Airway, Oropharyngeal, Anesthesiology"
CAF,Nebulizer (Direct Patient Interface)
CAG,"Circulator, Breathing-Circuit"
CAI,"Circuit, Breathing (W Connector, Adaptor, Y Piece)"
CAL,"Laryngoscope, Non-Rigid"
CAM,"Yoke Assembly, Medical Gas"
CAN,"Regulator, Pressure, Gas Cylinder"
CAO,"Airway, Esophageal (Obturator)"
CAP,"Monitor, Airway Pressure (Includes Gauge And/Or Alarm)"
CAT,"Cannula, Nasal, Oxygen"
CAW,"Generator, Oxygen, Portable"
CAX,"Flowmeter, Tube, Thorpe, Back-Pressure Compensated"
CAZ,Anesthesia Conduction Kit
CBA,"Monitor, Air Embolism, Ultrasonic"
CBF,"Chamber, Hyperbaric"
CBG,"Spreader, Cuff"
CBH,"Device, Fixation, Tracheal Tube"
CBI,"Tube, Tracheal/Bronchial, Differential Ventilation (W/Wo Connector)"
CBK,"Ventilator, Continuous, Facility Use"
CBL,"Absorbent, Carbon-Dioxide"
CBN,"Apparatus, Gas-Scavenging"
CBO,"Attachment, Intermittent Mandatory Ventilation (Imv)"
CBP,"Valve, Non-Rebreathing"
CBQ,"Analyzer, Gas, Enflurane, Gaseous-Phase (Anesthetic Concentration)"
CBR,"Analyzer, Gas, Nitrous-Oxide, Gaseous Phase (Anesthetic Conc.)"
CBS,"Analyzer, Gas, Halothane, Gaseous-Phase (Anesthetic Conc.)"
CBT,Arterial Blood Sampling Kit
CBZ,"Analyzer, Ion, Hydrogen-Ion (Ph), Blood-Phase, Indwelling"
CCC,"Analyzer, Gas, Carbon-Dioxide, Partial Pressure, Blood-Phase, Indwelling"
CCE,"Analyzer, Gas, Oxygen, Partial Pressure, Blood-Phase, Indwelling"
CCI,"Analyzer, Gas, Nitrogen, Gaseous-Phase"
CCJ,"Analyzer, Gas, Carbon-Monoxide, Gaseous-Phase"
CCK,"Analyzer, Gas, Carbon-Dioxide, Gaseous-Phase"
CCL,"Analyzer, Gas, Oxygen, Gaseous-Phase"
CCM,"Plethysmograph, Pressure"
CCN,"Flowmeter, Nonback-Pressure Compensated, Bourdon Gauge"
CCO,"Bed, Rocking, Breathing Assist"
CCQ,"Nebulizer, Medicinal, Non-Ventilatory (Atomizer)"
CCT,"Applicator (Laryngo-Tracheal), Topical Anesthesia"
CCW,"Laryngoscope, Rigid"
CCX,"Support, Patient Position"
ECX,"Cylinder, Compressed Gas, And Valve"
EPE,"Brush, Cleaning, Tracheal Tube"
FLS,"Monitor, Apnea, Facility Use"
FNC,"Tent, Pediatric Aerosol"
FOG,"Hood, Oxygen, Infant"
JAX,Pneumotachometer
JAY,"Support, Breathing Tube"
JED,"Analyzer, Oxyhemoglobin Concentration, Blood-Phase, Indwelling"
JEF,"Analyzer, Gas, Neon, Gaseous-Phase"
JEG,"Analyzer, Gas, Argon, Gaseous-Phase"
JEH,"Plethysmograph, Volume"
JEZ,"Monitor, Lung Water Measurement"
JFE,"Valve, Switching (Ploss)"
JOH,Tube Tracheostomy And Tube Cuff
KFZ,"Humidifier, Non-Direct Patient Interface (Home-Use)"
KGB,"Mask, Oxygen, Non-Rebreathing"
KGK,"Gas, Collecting Vessel"
KHA,"Mask, Scavenging"
KLK,"Monitor, Oxygen, Cutaneous, For Infant Not Under Gas Anesthesia"
KOI,"Stimulator, Nerve, Peripheral, Electric"
LKD,"Monitor, Carbon-Dioxide, Cutaneous"
LNZ,"Changer, Tube, Endotracheal"
LPP,"Monitor, Oxygen, Cutaneous, For Uses Other Than For Infant Not Under Gas Anesthesia"
MIA,"Needle, Spinal, Short Term"
MNR,Ventilatory Effort Recorder
MNS,"Ventilator, Continuous, Non-Life-Supporting"
MNT,"Ventilator, Continuous, Minimal Ventilatory Support, Facility Use"
MOD,Accessory To Continuous Ventilator (Respirator)
MRN,"Apparatus, Nitric Oxide Delivery"
MRO,"Apparatus, Nitric Oxide, Backup Delivery"
MRP,"Analyzer, Nitric Oxide"
MRQ,"Analyzer, Nitrogen Dioxide"
MZT,"Device, Heimlich Maneuver Assist"
NFB,"Conserver, Oxygen"
NHJ,"Device, Positive Pressure Breathing, Intermittent"
NHK,"Resuscitator, Manual, Non Self-Inflating"
NHO,"Analyzer, Gas, Desflurane, Gaseous-Phase (Anesthetic Concentration)"
NHP,"Analyzer, Gas, Sevoflurane, Gaseous-Phase (Anesthetic Concentration)"
NHQ,"Analyzer, Gas, Isoflurane, Gaseous-Phase (Anesthetic Concentration)"
NMA,"Tube, Tracheal, Reprocessed"
NMC,"Mask, Ventilator, Non-Continuous, Reprocessed"
NMR,"Needle, Spinal, Short Term, Reprocessed"
NNH,"Needle, Conduction, Anesthesia, Reprocessed"
NOU,"Continuous, Ventilator, Home Use"
NPF,"Monitor, Apnea, Home Use"
NQY,"Ventilator, Continuous, Minimal Ventilatory Support, Home Use"
NVO,"Spacer, Direct Patient Interface"
NVP,"Holding Chambers, Direct Patient Interface"
NXA,Tracheotomy Care Kit
OBN,"Humidifier, Respiratory, Mask (Direct Patient Interface)"
OEV,Cardiopulmonary Resuscitation Aid Kit
OFO,Airway Suction Kit
OFQ,Anesthesia Kit
OFR,Tracheobronchial Suction Catheter Kit
OFS,Tracheal Suction Set
OFT,Spinal Epidural Anesthesia Kit
OFU,Spinal Anesthesia Kit
OFV,Regional Anesthesia Kit
OFZ,Blood Specimen Collection Kit (Excludes Hiv Testing)
OGA,Brachial Plexus Anesthesia Kit
OGB,Caudal Anesthesia Kit
OGC,Continuous Brachial Plexus Block Tray
OGD,Custom Anesthesia Tray
OGE,Epidural Anesthesia Kit
OGF,Glossopharyngeal Anesthesia Kit
OGG,Humidifier Nebulizer Kit
OGH,Laryngoscope Kit
OGI,Nasal Endotracheal Tube Holder Kit
OGJ,Nerve Block Tray
OGK,Orotracheal Intubation Guide Kit
OGL,Oxygen Administration Kit
OLF,Medevac Use Oxygen Generator
ONZ,Mechanical Ventilator
OQU,Airway Monitoring System
OYI,Non-Bronchoscopic Bronchoalveolar Lavage Catheter
PHS,Oral Airway Assist
PHZ,Abnormal Breath Sound Device
PMB,External Airway
PNV,Impedance Measuring Device Utilizing Oscillation Techniques
PRK,Device Indicating An Exhalation Event
PUG,"Analyzer, Nitrogen Dioxide, Exempt"
PXE,Pressure Monitoring (Air/Gas) Kit
QAV,High Flow/High Velocity Humidified Oxygen Delivery Device
QBY,Positive Airway Pressure System
QCX,Retrograde Intubation Set
QEB,Ventilatory Electrical Impedance Tomograph
QRG,Ultrasound Guided Nerve Block Assist
QVE,Adjunctive Pain Measurement Device For Anesthesiology
QVT,Monitor For Opioid Induced Impairment Of Oxygenation
QWE,Hyperoxia Monitoring Device Adjunct To Pulse Oximetry
QXD,Spinal Imaging System For Neuraxial Procedures
QZW,Over-The-Counter Device To Assess Risk Of Sleep Apnea
DPZ,"Oximeter, Ear"
DQA,Oximeter
DWM,"Apparatus, Suction, Patient Care"
NLF,"Oximeter, Reprocessed"
OCR,Lung Sound Monitor
OLK,Pulse Oximeter For Over-The-Counter Use
PGJ,"Oximeter, Wellness"
OZR,Intraoral Pressure Gradient Device
LLO,"Laser, Neodymium:Yag, Pulmonary Surgery"
QRS,Device For Sleep Apnea Testing Based On Mandibular Movement
NQV,"Catheter, Suction, Tracheobronchial, Reprocessed"
QEC,"Forceps, Biopsy, Electric Surgical Hemostasis Within Tracheobronchial Tree"
QFB,Isocapnic Ventilation Device
GZE,Implanted Diaphragmatic/Phrenic Nerve Stimulator
PCM,Portable Liquid Oxygen Unit Stand
JCT,"Prosthesis, Tracheal, Expandable"
OMT,Absorbable Lung Biopsy Plug
BSD,"Analyzer, Gas, Nitrogen, Partial Pressure, Blood-Phase, Non-Indwelling"
LSZ,"Ventilator, High Frequency"
MNQ,"Stimulator, Hypoglossal Nerve, Implanted, Apnea"
NJK,"Valve, Pulmonary"
OAZ,One-Way Air-Leak Valve
OIR,Diaphragmatic/Phrenic Nerve Laparoscopically-Implanted Stimulator
OOY,Bronchial Thermoplasty System
PDR,Computer-Assisted Personalized Sedation System
PNC,Catheter Introducer
POI,Lung Tissue Sealant For Lung Volume Reduction
PSR,Implanted Phrenic Nerve Stimulator For Central Sleep Apnea
QGZ,Electrical Tumor Treatment Fields
QKS,"Inhaler, Metered Dose Or Dry Powder, Cder Or Cber Led"
QLI,"Vaporizer, Cder Or Cber Led"
QOQ,Non-Continuous Ventilator For Emergency Use
QOR,"Continuous Ventilator, Minimal Ventilatory Support"
QOT,Emergency Ventilator
QOU,Emergency Resuscitator
QOW,Ventilatory Assistance Helmet
QPR,Neurological Stimulation For Emergency Use
QSF,Software Option For Anesthesia Gas Machine To Achieve And Maintain Targeted End Tidal Oxygen And Anesthetic Agents
QTB,Nitric Oxide Generator And Delivery System
NDC,"Calculator, Drug Dose"
CCY,"Zimmerman (Spectrophotometric), 17-Ketosteroids"
CCZ,"Zimmerman/Norymberski, 17-Ketogenic Steroids"
CDA,"Acid, Nitrous And Nitrosonaphthol, 5-Hydroxyindole Acetic Acid/Serotonin"
CDB,"Porter Silber Hydrazone, 17-Hydroxycorticosteroids"
CDC,"L-Leucyl B-Naphthylamide, Leucine Aminopeptidase"
CDD,"Radioassay, Vitamin B12"
CDE,"Chromatographic Separation/Zimmerman, 17-Ketosteroids"
CDF,"Acid, Vanilmandelic, Diazo, P-Nitroaniline/Vanillin"
CDG,Chromatography Separation/Zimmerman 17-Ketogenic Steroids
CDH,"Acid, Uric, Phosphotungstate Reduction"
CDK,"Acid, Vanilmandelic, Electrophoretic Separation"
CDL,"Berthelot Indophenol, Urea Nitrogen"
CDM,"Diazonium Colorimetry, Urobilinogen (Urinary, Non-Quant.)"
CDN,"Urease, Photometric, Urea Nitrogen"
CDO,"Acid, Uric, Uricase (U.V.)"
CDP,"Radioimmunoassay, Total Triiodothyronine"
CDQ,"Urease And Glutamic Dehydrogenase, Urea Nitrogen"
CDR,"1-Nitroso-2-Naphthol (Fluorometric), Free Tyrosine"
CDS,"Electrode, Ion Specific, Urea Nitrogen"
CDT,"Lipase Hydrolysis/Glycerol Kinase Enzyme, Triglycerides"
CDW,"Diacetyl-Monoxime, Urea Nitrogen"
CDX,"Radioimmunoassay, Total Thyroxine"
CDZ,"Radioimmunoassay, Testosterones And Dihydrotestosterone"
CEA,Tlc Chromatographic Separation Triglycerides
CEC,"Radioimmunoassay, Free Thyroxine"
CED,"5-Amp-Phosphate Release (Colorimetric Test), 5'-Nucleotidase"
CEE,"Radioimmunoassay, Thyroxine-Binding Globulin"
CEF,"Electrophoretic, Protein Fractionation"
CEI,"Uranyl Acetate/Zinc Acetate, Sodium"
CEJ,"Tetraphenyl Borate, Colorimetry, Potassium"
CEK,"Biuret (Colorimetric), Total Protein"
CEL,"Ammonium Molybdate And Ammonium Vanadate, Phospholipids"
CEM,"Electrode, Ion Specific, Potassium"
CEN,"Dye-Indicator, Ph (Urinary, Non-Quantitative)"
CEO,"Phosphomolybdate (Colorimetric), Inorganic Phosphorus"
CEP,"Radioimmunoassay, Luteinizing Hormone"
CEQ,"Molybdenum Blue Method, Phospholipids"
CER,"2,4-Dinitrophenylhydrazine, Lactate Dehydrogenase"
CES,"Chromogenesis, Phenylketones (Urinary, Non-Quant.)"
CET,"Olive Oil Emulsion (Turbidimetric), Lipase"
CEW,"Radioimmunoassay, Parathyroid Hormone"
CEX,"Chromatographic Separation, Lactate Dehydrogenase Isoenzymes"
CFA,"Electrode, Ion Specific, Magnesium"
CFB,"Chromatographic Derivative, Total Lipids"
CFD,"Sulfophosphovanillin, Colorimetry, Total Lipids"
CFE,"Electrophoretic, Lactate Dehydrogenase Isoenzymes"
CFG,"Oil Emulsion/Thymolphthalein (Titrimetric), Lipase"
CFH,"Tetrazolium Int Dye-Diaphorase, Lactate Dehydrogenase"
CFJ,"Nad Reduction/Nadh Oxidation, Lactate Dehydrogenase"
CFL,"Radioimmunoassay, Human Growth Hormone"
CFM,"Bathophenanthroline, Colorimetry, Iron (Non-Heme)"
CFO,"Titrimetric, Magnesium"
CFP,"Radioimmunoassay, Immunoreactive Insulin"
CFR,"Hexokinase, Glucose"
CFT,"Radioimmunoassay, Prolactin (Lactogen)"
CFW,"Copper Reduction, Glucose"
CGA,"Glucose Oxidase, Glucose"
CGC,"Radioimmunoassay, Gastrin"
CGD,"Ferricyanide, Glucose"
CGE,"Orthotoluidine, Glucose"
CGF,"Radioimmunoassay, Estrone"
CGH,"Electrophoretic, Globulin"
CGI,"Radioimmunoassay, Estriol"
CGJ,"Radioimmunoassay, Follicle-Stimulating Hormone"
CGL,"Electrode, Ion Based, Enzymatic, Creatinine"
CGN,"Acid, Folic, Radioimmunoassay"
CGO,"Lieberman-Burchard/Abell-Kendall, Colorimetric, Cholesterol"
CGR,"Radioimmunoassay, Cortisol"
CGS,"Nad Reduction/Nadh Oxidation, Cpk Or Isoenzymes"
CGT,"Radioimmunoassay, Cyclic Gmp"
CGX,"Alkaline Picrate, Colorimetry, Creatinine"
CGZ,"Electrode, Ion-Specific, Chloride"
CHA,"Radioimmunoassay, Corticosterone"
CHC,"Titrimetric Permanganate And Bromophenol Blue, Calcium"
CHD,"Acid, Ferric Ion-Sulfuric, Cholesterol"
CHE,"Radioimmunoassay, Corticoids"
CHG,"Acid, Phosphoric-Tungstic (Spectrophotometric), Chloride"
CHH,"Enzymatic Esterase--Oxidase, Cholesterol"
CHI,"Lipase-Esterase, Enzymatic, Photometric, Lipase"
CHJ,"Mercuric Thiocyanate, Colorimetry, Chloride"
CHK,"Mercuric Nitrate And Diphenyl Carbazone (Titrimetric), Chloride"
CHL,"Electrode Measurement, Blood-Gases (Pco2, Po2) And Blood Ph"
CHM,"Radioimmunoassay, Total Estrogens In Pregnancy"
CHO,"Radioimmunoassay, Cyclic Amp"
CHP,"Radioimmunoassay, Estradiol"
CHQ,"Chromatographic/Fluorometric Method, Catecholamines"
CHR,"Titrimetric Phenol Red, Carbon-Dioxide"
CHS,"Coulometric Method, Carbon-Dioxide"
CHT,"Electrophoretic Method, Catecholamines"
CHW,"Titrimetric With Edta And Indicator, Calcium"
CHZ,"Di (O-Hydroxyphenylimine) Ethane, Calcium"
CIA,"Methylthymol Blue, Calcium"
CIB,"Radioimmunoassay, Angiotensin I And Renin"
CIC,"Cresolphthalein Complexone, Calcium"
CID,"Alizarin Sulfonate, Calcium"
CIE,"Volumetric/Manometric, Carbon-Dioxide"
CIF,"Vanillin Pyruvate, Ast/Sgot"
CIG,"Diazo Colorimetry, Bilirubin"
CIJ,"Saccharogenic, Amylase"
CIK,"Radial Diffusion, Amylase"
CIL,"Cresol Red Colorimetry, Carbon-Dioxide"
CIN,"Electrophoretic Separation, Alkaline Phosphatase Isoenzymes"
CIO,"Thymolphthalein Monophosphate, Alkaline Phosphatase Or Isoenzymes"
CIQ,"Diazo, Ast/Sgot"
CIS,"Hydrazone Colorimetry, Ast/Sgot"
CIT,"Nadh Oxidation/Nad Reduction, Ast/Sgot"
CIW,"Starch-Dye Bound Polymer, Amylase"
CIX,"Bromcresol Green Dye-Binding, Albumin"
CIY,"Radioimmunoassay, Androsterone"
CIZ,"Radioimmunoassay, Androstenedione"
CJA,"Amyloclastic, Amylase"
CJB,"Chromatographic Separation/Radioimmunoassay, Aldosterone"
CJC,"Fructose-1, 6-Diphosphate And Nadh (U.V.), Aldolase"
CJD,"Nitrosalicylate Reduction, Amylase"
CJE,"Nitrophenylphosphate, Alkaline Phosphatase Or Isoenzymes"
CJF,"Tetrabromophenolphthalein, Albumin"
CJG,"Tetrabromo-M-Cresolsulfonphthalein, Albumin"
CJH,"Thymol Blue Monophosphate, Alkaline Phosphatase Or Isoenzymes"
CJI,"Disodium Phenylphosphate, Alkaline Phosphatase Or Isoenzymes"
CJJ,"Diazo, Alt/Sgpt"
CJK,"Phenolphthalein Phosphate, Alkaline Phosphatase Or Isoenzymes"
CJL,"Beta Glycerophosphate, Alkaline Phosphatase Or Isoenzymes"
CJM,"Radioimmunoassay, Aldosterone"
CJN,"Acid Phosphatase, Nitrophenylphosphate"
CJO,"Alpha-Naphthyl Phosphate, Alkaline Phosphatase Or Isoenzymes"
CJQ,"Radial Immunodiffusion, Albumin"
CJR,"Acid Phosphatase, Thymol Blue Monophosphate"
CJT,"Hydrazone Colorimetry, Aldolase"
CJW,"Bromcresol Purple Dye-Binding, Albumin"
CJX,"Acid Phosphatase, Disodium Phenylphosphate"
CJY,"Azo Dye, Calcium"
CJZ,"Acid, Hydroxyazobenzene-Benzoic, Albumin"
CKA,"Nadh Oxidation/Nad Reduction, Alt/Sgpt"
CKB,"Acid Phosphatase, Naphthyl Phosphate"
CKC,"Vanillin Pyruvate, Alt/Sgpt"
CKD,"Hydrazone Colorimetry, Alt/Sgpt"
CKE,"Acid Phosphatase, Thymolphthale Inmonophosphate"
CKF,"Phenylphosphate, Alkaline Phosphatase Or Isoenzymes"
CKG,"Radioimmunoassay, Acth"
CKH,"Acid Phosphatase, Beta Glycerophosphate"
DHA,"System, Test, Human Chorionic Gonadotropin"
GIM,"Tubes, Vacuum Sample, With Anticoagulant"
GJE,"Tray, Blood Collection"
GLE,"Mixer, Blood Tube"
JBS,"Timer, General Laboratory"
JFH,"Acid Phosphatase (Prostatic), Tartrate Inhibited"
JFJ,"Catalytic Methods, Amylase"
JFL,"Ph Rate Measurement, Carbon-Dioxide"
JFM,"Enzymatic Method, Bilirubin"
JFN,"Atomic Absorption, Calcium"
JFO,"Fluorometric, Calcium"
JFP,"Electrode, Ion Specific, Calcium"
JFS,"Coulometric, Chloride"
JFT,"Fluorometric, Cortisol"
JFY,"Enzymatic Method, Creatinine"
JGC,"Tryptophan Measurement (Colorimetric), Globulin"
JGD,"Nephelometric Method, Globulin"
JGE,"Turbidimetric Method, Globulin"
JGF,"Differential Rate Kinetic Method, Lactate Dehydrogenase Isoenzymes"
JGG,"L-Leucine-4-Nitroanilide (Colorimetric), Leucine Arylamidase"
JGI,"Atomic Absorption, Magnesium"
JGJ,"Photometric Method, Magnesium"
JGK,"Ferric Chloride, Phenylketones (Urinary, Non-Quant.)"
JGM,"Flame Photometry, Potassium"
JGP,"Lowry (Colorimetric), Total Protein"
JGQ,"Turbidimetric, Total Protein"
JGR,"Refractometric, Total Protein"
JGS,"Electrode, Ion Specific, Sodium"
JGT,"Flame Photometry, Sodium"
JGW,"Fluorometric Method, Triglycerides"
JGX,"Turbidimetric Method, Triglycerides"
JGY,"Colorimetric Method, Triglycerides"
JGZ,"O-Phthalaldehyde, Urea Nitrogen"
JHA,"Acid, Uric, Uricase (Gasometric)"
JHC,"Acid, Uric, Uricase (Oxygen Rate)"
JHD,"Fluorometric Method, 17-Hydroxycorticosteroids"
JHE,"Radioassay, 17-Hydroxycorticosteroids"
JHF,"Colorimetric Method, Lecithin/Sphingomyelin Ratio"
JHG,"Chromatographic Separation, Lecithin/Sphingomyelin Ratio"
JHH,"Electrophoretic Method, Lecithin/Sphingomyelin Ratio"
JHI,"Visual, Pregnancy Hcg, Prescription Use"
JHJ,"Agglutination Method, Human Chorionic Gonadotropin"
JHL,"Microdensitometry Method, Lipoproteins"
JHM,"Colorimetric Method, Lipoproteins"
JHN,"Turbidimetric Method, Lipoproteins"
JHO,"Electrophoretic Separation, Lipoproteins"
JHP,"Radial Immunodiffusion, Lipoproteins"
JHQ,"Nephelometric Method, Lipoproteins"
JHS,"Differential Rate Kinetic Method, Cpk Or Isoenzymes"
JHT,"Chromatographic Separation, Cpk Isoenzymes"
JHW,"U.V. Method, Cpk Isoenzymes"
JHX,"Fluorometric Method, Cpk Or Isoenzymes"
JHY,"Colorimetric Method, Cpk Or Isoenzymes"
JIA,"Enzymatic Methods, Galactose"
JIB,"U.V. Method, Galactose"
JIC,"Colorimetric Method, Galactose"
JID,"Photometric Method, Ammonia"
JIE,"Method, Ion-Exchange, Ammonia"
JIF,"Enzymatic Method, Ammonia"
JIG,"Electrode, Ion-Specific Method, Ammonia"
JIJ,"Wet Ash Method, Protein-Bound Iodine"
JIK,"Dry Ash Method, Protein-Bound Iodine"
JIL,"Method, Enzymatic, Glucose (Urinary, Non-Quantitative)"
JIM,"Method, Metallic Reduction, Glucose (Urinary, Non-Quantitative)"
JIN,"Nitroprusside, Ketones (Urinary, Non-Quant.)"
JIQ,"Turbidimetric Method, Protein Or Albumin (Urinary, Non-Quant.)"
JIR,"Indicator Method, Protein Or Albumin (Urinary, Non-Quant.)"
JIS,"Calibrator, Primary"
JIT,"Calibrator, Secondary"
JIW,"Calibrator, Surrogate"
JIX,"Calibrator, Multi-Analyte Mixture"
JIY,"Photometric Method, Iron (Non-Heme)"
JIZ,"Atomic Absorption, Iron (Non-Heme)"
JJA,"Radio-Labeled Iron Method, Iron (Non-Heme)"
JJB,"Azo-Dyes, Colorimetric, Bilirubin & Its Conjugates (Urinary, Non-Quant.)"
JJC,"Analyzer, Chemistry (Sequential Multiple, Continuous Flow) Clinical Use"
JJE,"Analyzer, Chemistry (Photometric, Discrete), For Clinical Use"
JJF,"Analyzer, Chemistry, Micro, For Clinical Use"
JJG,"Analyzer, Chemistry, Centrifugal, For Clinical Use"
JJH,Clinical Sample Concentrator
JJI,"Analyzer, Enzyme, For Clinical Use"
JJJ,"Counter (Beta, Gamma) For Clinical Use"
JJK,"Oncometer, Plasma, For Clinical Use"
JJL,Plasma Viscometer For Clinical Use
JJM,Osmometer For Clinical Use
JJN,"Apparatus, Electrophoresis, For Clinical Use"
JJO,Flame Emission Photometer For Clinical Use
JJP,"Electrode, Ion Selective (Non-Specified)"
JJQ,"Colorimeter, Photometer, Spectrophotometer For Clinical Use"
JJR,Electrolyte Controls (Assayed And Unassayed)
JJS,"Controls For Blood-Gases, (Assayed And Unassayed)"
JJT,Enzyme Controls (Assayed And Unassayed)
